Instrument,RWC Name,airy-breathy,brassy-metallic,direct-loud,focused-compact,hollow,muted-veiled,nasal-reedy,open,percussive,pure-clear,raspy-grainy,resonant-vibrant,ringing-long_decay,rumbling-low,shrill-noisy,soft-singing,sparkling-brilliant,sustained-even,watery-fluid,woody
alto-saxophone,ALTO SAX,4.42,4.25,4.73,4.17,2.63,2.05,4.58,4.30,1.68,4.40,2.95,5.30,3.85,1.87,3.52,4.53,4.50,5.20,3.27,2.78
baritone-saxophone,BARITONE SAX,4.20,4.09,5.73,2.80,2.87,2.49,4.24,4.42,2.44,3.02,5.02,5.24,2.84,6.27,3.02,2.84,2.29,4.62,2.29,3.64
bass-drum,BASS DRUM,1.88,1.36,6.13,3.24,4.63,3.61,1.58,4.25,6.03,3.00,2.11,4.89,4.79,6.72,2.54,1.49,1.56,2.86,1.89,2.29
bassoon,BASSOON,4.23,1.34,3.45,4.18,3.73,4.05,5.41,3.64,1.89,3.98,3.52,4.57,2.59,4.64,2.18,4.30,2.00,5.16,2.84,5.93
cello,CELLO,2.59,1.36,4.08,3.84,3.52,2.85,2.03,5.03,1.66,4.85,2.36,6.19,4.34,4.53,1.77,5.78,3.70,5.93,3.53,4.12
clarinet,CLARINET,4.21,1.26,3.57,4.31,3.82,3.13,3.90,4.89,1.39,5.18,1.89,4.92,3.07,1.95,3.18,5.49,3.51,5.44,3.85,5.36
double-bass,CONTRABASS,3.73,1.57,4.20,2.67,3.78,3.16,5.65,3.39,1.88,2.27,5.45,4.92,2.80,6.59,2.76,1.98,1.57,4.27,2.02,5.41
crash-cymbals,CRASH CYMBAL,1.66,6.51,6.59,2.72,2.05,1.28,1.54,4.55,6.35,3.24,1.91,5.26,6.39,1.97,6.14,1.15,5.78,2.38,1.68,1.03
english-horn,ENGLISH HORN,3.81,1.56,3.08,4.60,3.75,4.73,4.83,3.67,1.42,4.52,2.63,5.21,3.15,2.88,2.35,5.65,2.85,5.46,3.81,5.38
flute,FLUTE,5.81,2.33,2.90,3.99,4.21,2.76,1.94,5.25,1.56,5.89,1.65,4.74,3.63,1.23,3.21,5.80,5.48,5.10,4.69,2.51
