participant,Instrument,play,familiar,vivid,rumbling-low,soft-singing,watery-fluid,direct-loud,nasal-reedy,shrill-noisy,percussive,pure-clear,brassy-metallic,raspy-grainy,ringing-long_decay,sparkling-brilliant,airy-breathy,resonant-vibrant,hollow,woody,muted-veiled,sustained-even,open,focused-compact
2,oboe,No,Moderately familiar,16,2,3,2,6,7,7,2,2,2,2,3,2,4,2,3,6,1,3,2,4
12,oboe,No,Moderately familiar,18,1,6,1,1,7,6,1,4,1,1,5,5,2,7,1,2,1,6,3,7
13,oboe,No,Extremely familiar,19,1,3,5,6,7,3,1,6,2,1,2,3,2,3,6,7,7,5,1,7
14,oboe,No,Very familiar,17,1,6,3,4,7,7,1,4,1,1,5,4,6,5,3,7,1,3,5,6
16,oboe,No,Very familiar,18,1,3,5,5,6,7,5,6,3,2,7,5,1,7,3,6,2,5,3,5
19,oboe,No,Moderately familiar,16,1,5,4,1,7,5,1,3,1,1,5,2,2,4,4,6,3,5,3,1
20,oboe,No,Very familiar,18,1,7,5,2,6,6,1,3,1,5,4,3,7,5,3,4,4,5,3,7
22,oboe,No,Very familiar,18,1,7,6,2,5,1,1,7,2,1,4,2,4,3,7,7,7,7,3,5
24,oboe,No,Very familiar,19,1,6,2,6,6,1,1,6,1,1,1,2,5,6,1,5,1,7,6,6
28,oboe,No,Extremely familiar,19,1,6,1,2,7,4,1,6,1,1,5,5,4,5,4,5,1,7,5,6
29,oboe,No,Moderately familiar,16,1,5,2,1,6,3,1,4,1,2,1,4,3,2,2,5,1,2,2,2
35,oboe,No,Moderately familiar,17,2,7,2,1,1,1,1,7,1,1,5,4,1,4,1,3,2,6,3,5
37,oboe,No,Very familiar,19,1,7,5,2,6,3,1,5,1,4,3,6,2,4,2,5,1,5,5,5
43,oboe,No,Very familiar,18,1,4,1,6,6,6,1,4,1,1,2,5,1,6,1,3,1,6,3,6
45,oboe,No,Extremely familiar,18,1,4,5,5,7,6,3,7,3,2,4,6,2,5,2,3,1,4,4,4
50,oboe,Yes,Extremely familiar,19,1,7,1,7,1,2,1,7,1,1,1,7,1,7,1,6,1,6,7,7
52,oboe,Yes,Extremely familiar,19,1,4,1,3,5,5,6,6,5,1,2,5,1,4,1,7,4,5,3,5
56,oboe,No,Extremely familiar,19,1,6,6,3,7,7,1,6,1,1,4,7,3,7,2,7,3,4,3,6
57,oboe,No,Extremely familiar,19,1,6,5,6,4,3,1,7,1,1,5,6,2,7,1,2,1,7,7,5
59,oboe,No,Very familiar,18,1,5,1,5,7,3,2,5,1,4,4,6,6,6,2,6,3,7,1,7
69,oboe,No,Very familiar,18,1,5,5,4,7,3,1,4,1,5,1,5,1,5,2,7,3,7,2,7
76,oboe,No,Very familiar,18,1,6,3,6,7,7,3,7,3,3,6,6,2,7,4,5,5,6,2,7
77,oboe,No,Extremely familiar,19,1,4,1,1,7,2,1,7,1,1,2,7,6,7,1,7,1,7,1,7
78,oboe,No,Extremely familiar,19,1,5,6,6,5,2,5,6,2,1,6,4,2,6,6,6,3,6,5,5
79,oboe,No,Extremely familiar,19,1,6,2,2,7,5,1,6,1,1,2,1,5,2,1,4,2,6,6,5
86,oboe,No,Extremely familiar,19,1,4,4,2,7,3,1,5,2,6,3,4,6,5,5,6,4,4,3,5
90,oboe,No,Extremely familiar,19,2,4,4,5,7,6,2,3,1,5,2,5,5,5,4,5,2,3,3,2
106,oboe,No,Moderately familiar,18,1,6,5,2,7,1,1,5,1,1,1,4,4,1,6,6,2,6,3,6
107,oboe,No,Extremely familiar,19,1,5,3,5,2,5,1,4,3,3,3,3,7,5,2,4,2,4,6,7
111,oboe,No,Extremely familiar,19,1,2,3,6,7,6,2,6,2,2,3,5,3,4,2,4,2,6,3,7
112,oboe,No,Moderately familiar,19,2,2,1,6,7,6,2,7,2,2,4,2,1,4,2,5,4,6,2,7
126,oboe,No,Extremely familiar,18,1,5,2,7,7,6,1,7,4,5,6,7,5,6,1,5,1,7,2,7
131,oboe,No,Moderately familiar,18,1,6,6,2,1,5,1,7,1,1,4,5,6,5,1,5,3,5,5,3
132,oboe,No,Extremely familiar,19,1,1,3,5,6,2,1,5,1,2,2,5,5,6,1,5,1,6,1,3
134,oboe,No,Very familiar,17,1,2,3,1,5,3,1,6,1,1,1,1,1,1,2,6,5,6,5,1
147,oboe,No,Extremely familiar,19,2,5,2,5,7,6,4,5,1,5,2,4,5,4,2,5,3,4,3,6
148,oboe,No,Very familiar,18,1,1,1,4,7,5,1,7,2,1,1,7,2,2,2,3,3,5,2,7
149,oboe,No,Extremely familiar,19,1,5,2,7,7,6,3,7,2,4,1,3,3,6,2,6,4,7,2,7
154,oboe,No,Very familiar,18,2,5,5,5,6,5,1,7,3,3,3,6,6,5,2,5,2,6,7,7
161,oboe,No,Very familiar,19,1,2,2,4,7,7,2,3,2,6,2,4,5,3,2,6,1,3,3,3
166,oboe,Yes,Extremely familiar,19,1,7,7,7,2,1,1,6,1,3,6,7,4,7,5,6,4,5,7,6
167,oboe,No,Moderately familiar,17,1,4,1,1,6,6,1,7,2,1,2,2,7,6,1,1,5,1,1,7
168,oboe,No,Very familiar,17,1,6,1,5,5,3,3,7,1,2,6,3,4,6,2,6,4,7,3,5
182,oboe,No,Very familiar,18,1,6,2,4,4,1,1,7,1,1,2,5,3,3,5,4,1,6,4,7
187,oboe,Yes,Extremely familiar,19,3,7,6,7,6,6,6,7,5,2,2,4,5,6,5,7,6,7,5,7
192,oboe,No,Very familiar,18,3,6,5,6,5,5,5,5,4,5,5,6,5,5,3,7,2,6,5,6
193,oboe,No,Moderately familiar,17,1,7,4,2,3,1,1,7,1,3,7,4,5,7,2,5,3,5,6,6
196,oboe,No,Very familiar,19,1,3,3,6,7,7,1,6,1,2,4,4,1,6,1,5,3,5,1,7
199,oboe,No,Moderately familiar,16,4,6,5,4,4,4,2,4,3,5,4,4,5,5,4,6,5,5,4,4
201,oboe,No,Very familiar,19,1,7,1,5,7,1,1,5,1,1,1,7,1,7,1,1,1,7,7,7
203,oboe,No,Extremely familiar,19,1,7,6,2,3,2,1,7,1,1,6,6,1,6,2,7,6,6,6,7
208,oboe,No,Very familiar,18,1,4,5,2,7,6,1,4,1,1,2,6,6,1,6,7,6,4,5,5
216,oboe,No,Moderately familiar,17,1,1,1,1,7,4,1,1,3,1,3,2,2,3,1,4,5,7,1,5
218,oboe,Yes,Extremely familiar,19,1,7,3,5,1,1,1,7,1,1,6,5,2,7,1,4,4,7,6,2
219,oboe,Yes,Extremely familiar,19,1,4,2,5,5,3,1,4,1,1,1,3,2,6,2,6,1,2,3,6
221,oboe,Yes,Extremely familiar,19,5,6,2,6,5,3,2,5,2,2,2,3,2,6,3,6,2,3,3,5
223,oboe,No,Extremely familiar,18,1,5,4,6,6,3,1,5,1,1,2,5,1,4,2,3,4,6,4,4
226,oboe,Yes,Extremely familiar,19,3,6,3,5,1,2,3,7,2,2,5,6,3,7,2,5,1,7,6,6
228,oboe,Yes,Extremely familiar,18,1,7,5,6,1,4,1,6,1,1,5,5,2,6,1,3,1,6,3,6
229,oboe,Yes,Extremely familiar,19,1,7,4,5,4,1,2,7,1,1,1,7,4,7,3,5,3,5,7,7
230,oboe,Yes,Extremely familiar,19,1,6,2,5,5,1,1,6,1,1,6,5,2,6,1,1,2,6,6,6
235,oboe,No,Extremely familiar,19,1,5,2,7,5,6,2,3,3,3,3,6,3,6,4,5,2,2,5,4
238,oboe,No,Very familiar,18,1,6,6,5,7,2,1,6,2,3,4,5,3,5,4,6,4,5,5,6
241,oboe,Yes,Extremely familiar,19,2,3,2,5,5,2,1,2,1,1,3,7,1,7,1,4,2,4,5,2
2,flute,No,Moderately familiar,17,1,7,5,3,2,5,4,5,4,2,6,6,4,6,6,1,2,6,5,5
3,flute,Yes,Extremely familiar,19,2,7,6,2,2,1,2,7,1,2,5,6,6,5,5,3,5,6,6,3
14,flute,No,Very familiar,18,1,7,6,1,2,2,1,7,1,1,6,6,7,6,6,6,3,7,7,3
18,flute,No,Very familiar,19,1,6,2,2,1,3,1,6,1,2,1,5,6,5,7,1,1,5,7,3
19,flute,No,Very familiar,19,1,6,5,1,1,6,1,4,1,1,2,5,6,5,6,1,1,3,5,1
22,flute,No,Very familiar,18,1,5,6,1,6,4,2,7,1,4,4,6,7,2,6,4,3,3,4,3
25,flute,No,Extremely familiar,19,1,6,5,5,2,5,1,7,4,1,6,6,5,4,6,6,1,6,6,6
27,flute,No,Extremely familiar,19,1,2,4,1,1,4,1,3,5,6,5,5,6,5,1,1,1,3,6,3
29,flute,No,Very familiar,18,1,7,4,1,1,2,1,6,1,1,2,3,4,4,5,1,1,7,6,3
31,flute,No,Very familiar,18,1,6,5,2,3,5,5,4,4,4,5,5,7,4,5,4,4,5,6,3
35,flute,No,Very familiar,18,1,7,1,3,1,1,1,6,1,1,5,5,1,7,1,5,1,6,6,5
38,flute,No,Extremely familiar,19,1,7,7,2,1,1,1,5,1,1,5,7,7,5,3,1,1,6,5,2
